template,variant,hook,body,cta,stat
mf-coach-hero,a,El DT más ganador de Costa Rica ahora te enseña,"7 campeonatos. 30+ años formando campeones. Jeaustin Campos te revela la metodología mental que usó para ganar.",Descubrí tu perfil mental,7x Campeón
mf-coach-hero,b,El DT más ganador de Costa Rica ahora te enseña,"7 campeonatos. 30+ años formando campeones. Jeaustin Campos te revela la metodología mental que usó para ganar.",Descubrí tu perfil mental,7x Campeón
mf-coach-hero,a,El talento te abre la puerta. La mente es la que te deja entrar.,"Jeaustin Campos — 7 campeonatos, 30+ años formando cracks. Ahora te enseña lo que no te enseñan en la cancha.",Empezá gratis,7x Campeón
mf-coach-hero,b,El talento te abre la puerta. La mente es la que te deja entrar.,"Jeaustin Campos — 7 campeonatos, 30+ años formando cracks. Ahora te enseña lo que no te enseñan en la cancha.",Empezá gratis,7x Campeón
mf-quote-card,a,¿Cuando caminás hacia la cancha... ya ganaste o ya perdiste?,"No gané 7 campeonatos por tener los mejores jugadores. Los gané porque mis jugadores tenían la mejor mentalidad.",Aprendé del campeón,
mf-quote-card,b,¿Cuando caminás hacia la cancha... ya ganaste o ya perdiste?,"No gané 7 campeonatos por tener los mejores jugadores. Los gané porque mis jugadores tenían la mejor mentalidad.",Aprendé del campeón,
mf-quote-card,a,Jeaustin Campos — 7x Campeón Nacional,"La diferencia entre un jugador bueno y un campeón no está en las piernas. Está en la cabeza.",Descubrí la diferencia,
mf-quote-card,a,Jeaustin Campos — 7x Campeón Nacional,La constancia mental gana más partidos que cualquier jugada ensayada.,Empezá hoy,
mf-pillar-highlight,a,¿Por qué tu equipo juega bien en práctica pero falla en partidos?,"Presión, concentración, constancia, motivación — los 4 ejes del pilar sicológico. La táctica te pone en el campo. La mente decide si competís o te congelás.",Descubrí cómo,Sicológico
mf-pillar-highlight,b,¿Por qué tu equipo juega bien en práctica pero falla en partidos?,"Presión, concentración, constancia, motivación — los 4 ejes del pilar sicológico. La táctica te pone en el campo. La mente decide si competís o te congelás.",Descubrí cómo,Sicológico
mf-pillar-highlight,a,Tu equipo no pierde por táctica. Pierde por no saber LEER el partido.,"Posicionamiento. Lectura del juego. Transiciones. La táctica sin inteligencia emocional es un plan que se cae en el minuto 70.",Aprendé la metodología,Táctica
mf-pillar-highlight,a,Sos rápido. Sos fuerte. Pero en el minuto 85 ¿tu mente aguanta?,"La velocidad y la fuerza sin fortaleza mental son armas que fallan cuando más las necesitás. El pilar físico no es solo el cuerpo — es la mente que lo controla.",Fortalecé tu mente,Físico
mf-pillar-highlight,a,Los 4 Pilares del Fútbol,"Técnica — control, pase, regate, definición. Táctica — posicionamiento, lectura, formaciones. Físico — velocidad, resistencia, fuerza. Sicológico — presión, concentración, constancia.",¿Cuál es el más débil de tu hijo?,4 Pilares
mf-stat-insight,a,de jugadores sin metodología mental pierden 2–3 años de desarrollo,"El talento no alcanza. Sin preparación mental estructurada, tus jugadores compiten con media capacidad.",Cambiá eso,87%
mf-stat-insight,a,años formando campeones: Keylor Navas. Celso Borges. Jewison Bennette.,"La experiencia de un récord no se estudia en libros. Se vive en la cancha. Ahora esa metodología es tuya.",Conocé la metodología,30+
mf-stat-insight,a,campeonatos nacionales — la metodología detrás del récord de Costa Rica,Jeaustin Campos no ganó por suerte. Ganó con un sistema mental que ahora podés aprender.,Descubrí el sistema,7
mf-stat-insight,a,lugar en el Mundial de Clubes FIFA 2005 — Saprissa vs. los gigantes del mundo,Jeaustin Campos llevó a un equipo centroamericano al podio mundial. La preparación mental fue la diferencia.,Aprendé del DT que compitió contra el mundo,3er
mf-stat-insight,a,selecciones nacionales dirigidas — Costa Rica. Puerto Rico. Honduras.,"No cualquier DT cruza fronteras. La metodología mental de Jeaustin Campos trasciende culturas y ligas.",Accedé a esa metodología,3
mf-stat-insight,a,jugadores formados — de ligas menores a selecciones nacionales y clubes europeos,"Keylor Navas. Celso Borges. Jewison Bennette. Todos pasaron por las manos de un DT que prioriza la mente.",Tu turno,200+
mf-stat-insight,a,finales nacionales dirigidas — más que cualquier otro DT activo en Centroamérica,"La final es donde todo se define. Jeaustin Campos sabe exactamente qué pasa en la cabeza de un jugador cuando todo está en juego.",Preparate para tu final,12
mf-stat-insight,a,del rendimiento en partidos decisivos depende de la fortaleza mental,"Técnica la tenés. Físico lo trabajás. Pero sin mente, todo se cae cuando más importa.",Entrenala,70%
mf-question-hook,a,¿Te ponés nervioso cuando el partido importa de verdad?,"No es falta de talento. Es falta de preparación mental. Los campeones no nacen sin nervios — aprenden a usarlos.",Empezá acá,Sicológico
mf-question-hook,a,¿Tu hijo tiene talento pero se frustra cuando las cosas no salen?,"No es falta de ganas. Es que nadie le enseñó a manejar la presión. Con la metodología correcta, su talento puede brillar.",Apoyalo con ciencia,Sicológico
mf-question-hook,a,Técnica sin mentalidad es un truco. Con mentalidad es un arma.,,Hacé el quiz mental,Técnica
